User ID,Age,Gender,Height (cm),Weight (kg),Workout Duration (mins),Calories Burned,Heart Rate (bpm),Steps Taken,Distance (km),Workout Intensity,Sleep Hours,Water Intake (liters),Daily Calories Intake,Resting Heart Rate (bpm),Mood After Workout,Mood Before Workout_Happy,Mood Before Workout_Neutral,Mood Before Workout_Stressed,Mood Before Workout_Tired,Workout Type_Cardio,Workout Type_Cycling,Workout Type_HIIT,Workout Type_Running,Workout Type_Strength,Workout Type_Yoga
1,39,0,175,99,79,384,112,8850,14.44,2,8.2,1.9,3195,61,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,36,2,157,112,73,612,168,2821,1.1,2,8.6,1.9,2541,73,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,25,1,180,66,27,540,133,18898,7.28,2,9.8,1.9,3362,80,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,56,0,154,89,39,672,118,14102,6.55,1,5.8,1.9,2071,65,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,53,2,194,59,56,410,170,16518,3.17,1,7.3,1.9,3298,59,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,33,0,162,81,11,301,142,10895,6.53,0,4.2,1.9,2401,69,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,48,1,151,82,109,351,114,4687,6.47,0,4.3,1.9,2310,72,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,59,0,189,61,83,518,159,11234,7.64,1,8.8,1.9,2654,62,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,37,2,182,113,25,226,123,9372,13.24,0,4.1,1.9,3760,53,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
10,45,1,198,74,60,265,171,19073,8.52,2,5.6,1.9,1908,53,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,28,2,167,84,31,292,147,3478,13.49,0,6.3,1.9,1893,51,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,46,2,185,112,111,761,85,17568,10.9,0,6.2,1.9,2184,57,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
13,38,0,178,71,83,664,98,8098,11.26,2,8.5,1.9,2253,68,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,18,0,174,99,60,205,96,3597,1.54,0,7.1,1.9,2238,74,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
15,38,0,179,75,50,463,85,9695,1.92,2,7.3,1.9,1759,81,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,34,1,196,107,18,191,87,10346,2.14,1,9.3,1.9,3569,88,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
17,26,2,185,74,30,272,92,16563,4.09,0,8.2,1.9,3241,60,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,19,1,187,96,94,855,100,1056,11.73,2,4.4,1.9,2943,80,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,20,0,178,52,52,404,120,12065,7.99,1,6.7,1.9,1713,82,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
20,44,1,189,62,51,821,148,13797,12.82,2,6.1,1.9,2541,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
