iter	Accuracy	MultiClass
0	0.3701470639	1.381799783
1	0.4220873022	1.379121057
2	0.4364793707	1.374575436
3	0.4645956754	1.370953355
4	0.4771533937	1.367483298
5	0.5068419197	1.363620545
6	0.4915595199	1.3617373
7	0.497205886	1.357889085
8	0.5061053193	1.354130245
9	0.4995095478	1.350365459
10	0.5218507432	1.347556558
11	0.5258571778	1.344795693
12	0.5415171334	1.341134056
13	0.5354610701	1.33757379
14	0.5425117698	1.334432058
15	0.5336271704	1.331481417
16	0.5336829828	1.32878223
17	0.5337343766	1.325039948
18	0.5280213671	1.321379449
19	0.5205016055	1.319183736
20	0.5307426971	1.316374531
21	0.5222800184	1.313595363
22	0.5284896878	1.311525751
23	0.534530051	1.309719926
24	0.5424282346	1.306335723
25	0.532454141	1.304314364
26	0.5433476814	1.301177907
27	0.5470718685	1.298358585
28	0.5496181571	1.295723666
29	0.5472826036	1.293303155
30	0.538135134	1.290234308
31	0.5458582762	1.28789861
32	0.5504102791	1.286334747
33	0.5550571397	1.284524079
34	0.5499563418	1.282666734
35	0.559994919	1.28112746
36	0.566086676	1.279212316
37	0.5588647371	1.277569942
38	0.5602019768	1.275493074
39	0.560336781	1.273176597
40	0.5656208408	1.270042255
41	0.5745493547	1.267797127
42	0.5835054665	1.265607309
43	0.5843451802	1.263497044
44	0.5778877653	1.260685331
45	0.5870665101	1.258751941
46	0.5846750194	1.256037593
47	0.5831755024	1.254449237
48	0.5882241651	1.251639232
49	0.5847703277	1.249134218
50	0.581921673	1.247507681
51	0.588589823	1.244222589
