iter	Passed	Remaining
0	6	6895
1	13	6527
2	18	6126
3	24	6139
4	30	5981
5	36	6122
6	43	6151
7	48	6041
8	55	6099
9	60	6012
10	65	5913
11	73	6019
12	78	5982
13	84	5963
14	90	5945
15	95	5867
16	101	5890
17	107	5840
18	111	5780
19	118	5801
20	125	5827
21	130	5797
22	136	5782
23	143	5852
24	150	5872
25	155	5836
26	160	5788
27	168	5835
28	173	5808
29	180	5838
30	186	5834
31	191	5798
32	197	5800
33	202	5759
34	207	5719
35	215	5761
36	220	5730
37	225	5706
38	230	5683
39	238	5712
40	244	5724
41	249	5697
42	257	5732
43	265	5759
44	298	6326
45	325	6757
46	350	7099
47	367	7298
48	382	7432
49	393	7477
50	398	7419
51	405	7393
